"","Site_Date","X","PointID","Year","VisitNum","DistBand","RegionNum","State","Site","Treatment","runnel_age","Point_X","Point_Y","SurveyWindow","SurveyDate","Month","Day","Observer","Tide","SurveyTime","TempF","Sky","WindSp","Noise","richness","shannon","totalbirds","saltysparrow","AGWT","ALFL","AMCR","AMDU","AMGO","AMOY","AMRE","AMRO","BANS","BAOR","BARS","BBGU","BBPL","BCCH","BHCO","BLJA","BLPW","BOBO","BRTH","CAGO","CANG","CARW","CEDW","CHSP","CHSW","CLRA","COEI","COGR","COTE","COYE","CSWA","DCCO","DUNL","EAKI","EAPH","EATO","EUST","EWPW","GBBG","GBHE","GCFL","GLIB","GRCA","GREG","GRHE","GRYE","GWTE","HAWO","HERG","HETH","HOFI","HOSP","HOWR","KILL","LBHE","LESA","LETE","LEYE","MALL","MAWR","MODO","MUSW","NESP","NOCA","NOGO","NOMO","NRWS","OROR","OSPR","PAWA","PEEP","PUMA","RBME","RECR","RTHA","RUBL","RWBL","SALS","SAND","SBDO","SEOW","SEPL","SESA","SESP","SNEG","SOSP","SPSA","STSP","TRES","TUTI","TUVU","UNK_SP","VIRA","Warbler","WEVI","WIFL","WILL","WITU","WOTH","WREN","WRSA","YEWA","Aerial","Carnivorous","Dabbler","Marsh","Mudflat","Piscivore","Scavengers","Upland","Wading","Panne_Dependent","weighted_wetland_score"
"1","BC NAC 5/23/2022  ",1,"BC NAC",2022,1,"0-50m",2,"MA","Broad Cove","No Action",5,-71.1339,41.795,1,"5/23/2022",5,23,"JLG","Low","8:22",66,2,2,3,5,1.52,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,11.1,0,0,22.2,0,11.1,2.78
"2","BC NAC 6/22/2022  ",2,"BC NAC",2022,2,"0-50m",2,"MA","Broad Cove","No Action",5,-71.1339,41.795,2,"6/22/2022",6,22,"JLG","Low/Falling","7:41",63,2,1,2,3,0.92,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.9,0,0,0,9.1,0,0,2.27
"3","BC REF 5/22/2023  ",5,"BC REF",2023,1,"0-50m",2,"MA","Broad Cove","Reference",6,-71.13286,41.79348,1,"5/22/2023",5,22,"JLG/LG","Low/Rising","7:28",54,0,1,2,7,1.78,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0,0,0,25,0,25,3.1
"4","BC REF 5/23/2022  ",3,"BC REF",2022,1,"0-50m",2,"MA","Broad Cove","Reference",5,-71.13286,41.79348,1,"5/23/2022",5,23,"JLG","Low","8:44",64,2,3,3,5,1.56,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.7,0,0,66.7,0,0,0,16.7,0,0,1.83
"5","BC REF 6/22/2022  ",4,"BC REF",2022,2,"0-50m",2,"MA","Broad Cove","Reference",5,-71.13286,41.79348,2,"6/22/2022",6,22,"JLG","Low/Falling","7:21",61,2,1,2,4,1.21,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,12.5,0,0,2.88
"6","BC REF 6/28/2023  ",6,"BC REF",2023,2,"0-50m",2,"MA","Broad Cove","Reference",6,-71.13286,41.79348,2,"6/28/2023",6,28,"JLG","Low","8:13",68,2,0,2,3,0.96,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,0,0,0,42.9,0,0,1.71
"7","BC RUN 5/22/2023  ",9,"BC RUN",2023,1,"0-50m",2,"MA","Broad Cove","Runnel",6,-71.13327,41.7925,1,"5/22/2023",5,22,"JLG/LG","Low/Rising","7:28",54,0,1,2,6,1.68,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,58.8,0,11.8,0,0,0,41.2,3.18
"8","BC RUN 5/23/2022  ",7,"BC RUN",2022,1,"0-50m",2,"MA","Broad Cove","Runnel",5,-71.13327,41.7925,1,"5/23/2022",5,23,"JLG","Low","9:00",67,2,3,2,3,0.87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,83.3,0,0,0,16.7,0,0,2.17
"9","BC RUN 6/22/2022  ",8,"BC RUN",2022,2,"0-50m",2,"MA","Broad Cove","Runnel",5,-71.13327,41.7925,2,"6/22/2022",6,22,"JLG","Low/Falling","7:08",61,2,1,2,3,0.85,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.9,0,0,0,11.1,0,0,2
"10","BC RUN 6/28/2023  ",10,"BC RUN",2023,2,"0-50m",2,"MA","Broad Cove","Runnel",6,-71.13327,41.7925,2,"6/28/2023",6,28,"JLG","Low","7:59",68,2,0,2,4,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,77.8,0,0,0,11.1,0,0,2.67
